City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Saint Anthony,US,45.0205,-93.218,26.15,69,100,4.0,overcast clouds
276,Yar-Sale,RU,66.8333,70.8333,-13.77,100,85,3.15,overcast clouds
277,Oskarshamn,SE,57.2645,16.4484,38.98,91,90,16.87,overcast clouds
278,Bud,US,39.447,-86.1758,20.82,81,11,6.26,few clouds
279,Vicuna,CL,-30.0319,-70.7081,78.76,40,0,4.41,clear sky
280,Batavia,US,41.85,-88.3126,16.92,71,0,5.99,clear sky
281,Tabou,CI,4.423,-7.3528,79.61,87,12,5.68,few clouds
282,Gimli,CA,50.6336,-96.9907,6.13,96,100,7.0,overcast clouds
283,Avarua,CK,-21.2078,-159.775,82.45,78,75,17.27,broken clouds
284,Camabatela,AO,-8.1881,15.375,61.29,97,100,1.79,overcast clouds
285,Bulgan,MN,48.8125,103.5347,-3.46,85,42,4.54,scattered clouds
286,Axim,GH,4.8699,-2.2405,78.44,88,5,6.31,light rain
287,Tsabong,BW,-26.0217,22.401,77.99,50,63,13.67,broken clouds
288,Urdoma,RU,61.7533,48.5442,3.56,97,21,5.28,few clouds
289,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.65,89,100,2.55,moderate rain
290,Chicama,PE,-7.8447,-79.1469,64.94,73,18,8.32,few clouds
291,Palmer,US,42.1584,-72.3287,19.54,67,0,1.01,clear sky
292,Lompoc,US,34.6391,-120.4579,73.71,56,0,13.8,clear sky
293,Morro Bay,US,35.3658,-120.8499,71.35,35,98,7.29,overcast clouds
294,Jacareacanga,BR,-6.2222,-57.7528,73.18,99,55,1.05,broken clouds
295,Labuhan,ID,-6.8844,112.2051,79.09,86,86,11.99,overcast clouds
296,Bayir,TR,37.2687,28.2167,30.72,66,30,1.19,scattered clouds
297,Matara,LK,5.9485,80.5353,72.23,90,59,7.54,broken clouds
298,Ust-Ishim,RU,57.6935,71.1665,10.53,91,100,4.72,overcast clouds
299,Port Hardy,CA,50.6996,-127.4199,44.91,86,100,8.37,overcast clouds
300,Kerema,PG,-7.9631,145.7785,84.47,62,100,6.49,overcast clouds
301,Hokitika,NZ,-42.7167,170.9667,66.83,55,96,8.5,light rain
302,Camana,PE,-16.6228,-72.7111,71.29,80,32,4.74,scattered clouds
303,Sayyan,YE,15.1718,44.3244,56.26,56,85,4.14,overcast clouds
304,San Patricio,US,28.017,-97.5169,51.55,42,0,5.39,clear sky
305,Pitsunda,GE,43.1592,40.3378,35.78,67,98,9.78,moderate rain
306,Dukat,RU,62.55,155.55,-13.83,65,27,1.66,scattered clouds
307,Eureka,US,40.8021,-124.1637,65.19,68,0,4.0,clear sky
308,Rio Bueno,CL,-40.3167,-72.9667,65.1,36,13,6.46,few clouds
309,Sawakin,SD,19.1059,37.3321,67.51,59,60,15.88,broken clouds
310,Nuuk,GL,64.1835,-51.7216,7.41,85,100,4.61,snow
311,Sompeta,IN,18.9333,84.6,65.8,57,83,5.28,broken clouds
312,Ancud,CL,-41.8697,-73.8203,58.84,77,43,2.21,scattered clouds
313,Turukhansk,RU,65.8167,87.9833,-21.35,100,67,0.94,broken clouds
314,Olafsvik,IS,64.8945,-23.7142,31.37,77,100,35.57,snow
315,Mattawa,US,46.7379,-119.9028,54.12,69,22,2.57,few clouds
316,Sargatskoye,RU,55.6101,73.4972,6.13,84,100,7.38,overcast clouds
317,Khani,GE,41.9563,42.9566,24.37,95,100,3.6,light snow
318,Fez,MA,34.0372,-4.9998,48.45,76,0,9.22,clear sky
319,Marzuq,YE,14.4,46.4667,65.01,37,48,3.47,scattered clouds
320,Puerto Quijarro,BO,-17.7833,-57.7667,76.06,87,70,2.55,broken clouds
321,Vao,NC,-22.6667,167.4833,80.38,85,41,10.09,scattered clouds
322,Tamasopo,MX,21.9333,-99.4833,44.98,55,50,4.94,scattered clouds
323,Ibia,BR,-19.4783,-46.5389,71.91,92,86,2.71,overcast clouds
324,Omaruru,NA,-21.4333,15.9333,67.44,83,100,8.72,light rain
325,Gravdal,NO,68.1214,13.5031,38.43,74,95,22.46,overcast clouds
326,Dergachi,RU,51.2328,48.7659,14.09,97,99,6.06,overcast clouds
327,Codrington,AU,-38.2667,141.9667,73.49,44,58,10.02,broken clouds
328,San Cristobal,VE,7.7669,-72.225,73.58,90,87,1.59,overcast clouds
329,Lisakovsk,KZ,52.5369,62.4936,16.63,87,100,9.4,overcast clouds
330,Kavaratti,IN,10.5669,72.642,78.01,61,11,7.0,few clouds
331,Oume,JP,35.7839,139.2431,38.01,43,0,0.0,clear sky
332,Itoman,JP,26.1247,127.6694,59.4,51,20,16.11,few clouds
333,Tymovskoye,RU,50.8456,142.655,6.06,93,100,8.28,light snow
334,Lima,PE,-12.0432,-77.0282,71.91,77,0,1.01,clear sky
335,Cahabon,GT,15.5667,-89.8167,63.32,99,91,3.06,overcast clouds
336,Mbuji-Mayi,CD,-6.15,23.6,68.65,95,91,1.03,light rain
337,Clonakilty,IE,51.6231,-8.8706,49.21,90,100,33.42,light rain
338,Arcelia,MX,18.2833,-100.2667,87.17,27,0,3.62,clear sky
339,Itarema,BR,-2.9248,-39.9167,79.2,80,8,10.76,clear sky
340,Nurota,UZ,40.5614,65.6886,41.09,62,100,21.18,overcast clouds
341,Tura,IN,25.5198,90.2201,47.62,91,0,3.15,clear sky
342,Kailua,US,21.4022,-157.7394,83.61,73,10,1.99,clear sky
343,Rio Cuarto,AR,-33.1307,-64.3499,62.37,67,40,6.91,scattered clouds
